InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Aaron Pointer,1,3,101,11,21,5,0,2,15,2,0.208,0.317,0,32,0,1967,pointaa01
FALSE,FALSE,Luis Rosado,1,2,28,1,5,1,0,0,3,0,0.179,0.214,0,6,0,1980,rosadlu01
FALSE,TRUE,John Kennedy,1,12,2110,237,475,77,17,32,185,14,0.225,0.323,0,682,0,1974,kennejo03
FALSE,FALSE,Jim Levey,1,4,1632,162,375,61,14,11,140,23,0.230,0.305,0,497,0,1933,leveyji01
FALSE,FALSE,Emmett Mueller,1,4,1281,144,324,55,11,17,127,10,0.253,0.353,0,452,0,1941,muellhe02
FALSE,FALSE,Marv Olson,1,3,457,67,110,15,6,0,30,1,0.241,0.300,0,137,0,1933,olsonma01
FALSE,FALSE,Andy Thompson,1,1,6,2,1,0,0,0,1,0,0.167,0.167,0,1,0,2000,thompan02
FALSE,FALSE,Russ Hall,1,2,147,15,37,2,1,0,10,1,0.252,0.279,0,41,0,1901,hallru01
FALSE,FALSE,Walt Hriniak,1,2,99,4,25,0,0,0,4,0,0.253,0.253,0,25,0,1969,hriniwa01
FALSE,TRUE,Joe Judge,1,20,7898,1184,2352,433,159,71,1034,213,0.298,0.420,0,3316,1,1934,judgejo01
FALSE,FALSE,Frank Kelliher,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1919,kellifr01
FALSE,FALSE,Fred Smith,0,1,126,11,21,7,1,0,10,4,0.167,0.238,0,30,0,1890,smithfr02
FALSE,FALSE,Graham Taylor,0,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2009,taylogr01
FALSE,FALSE,Sadie McMahon,0,9,1128,126,230,21,9,3,115,17,0.204,0.246,0,278,0,1897,mcmahsa01
FALSE,FALSE,Adbert Alzolay,0,6,36,1,2,1,0,0,0,0,0.056,0.083,0,3,0,2024,alzolad01
FALSE,FALSE,Billy Hart,0,1,78,7,15,1,0,1,8,1,0.192,0.244,0,19,0,1890,hartbi02
FALSE,FALSE,Giovanni Soto,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2015,sotogi01
FALSE,FALSE,Grant Briggs,1,4,378,46,62,7,5,0,22,9,0.164,0.209,0,79,0,1895,brigggr01
FALSE,FALSE,Joe Connolly,1,4,1241,202,358,65,31,14,157,48,0.288,0.425,0,527,0,1916,connojo04
FALSE,FALSE,Bill Cunningham,1,4,945,113,270,39,12,9,112,17,0.286,0.381,0,360,0,1924,cunnibi02
FALSE,FALSE,Bob Troy,0,1,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1912,troybu01
FALSE,FALSE,Chad Hermansen,1,6,492,49,96,23,2,13,34,9,0.195,0.329,0,162,0,2004,hermach01
FALSE,FALSE,Bryce Jarvis,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,jarvibr01
FALSE,FALSE,Brad Mills,1,4,168,11,43,5,0,1,12,0,0.256,0.304,0,51,0,1983,millsbr01
FALSE,FALSE,Nyls Nyman,1,4,357,43,85,9,4,2,33,12,0.238,0.303,0,108,0,1977,nymanny01
FALSE,FALSE,Adam Rocap,1,1,69,13,12,1,0,0,4,3,0.174,0.188,0,13,0,1875,rocapad01
FALSE,FALSE,Charlie Sweeney,1,6,894,117,224,39,7,2,84,11,0.251,0.317,0,283,0,1887,sweench01
FALSE,FALSE,Eddie Tiemeyer,1,3,19,5,5,1,0,0,0,0,0.263,0.316,0,6,0,1909,tiemeed01
FALSE,FALSE,Clay Buchholz,0,13,46,0,4,1,0,0,1,0,0.087,0.109,2,5,4,2019,buchhcl01
FALSE,FALSE,Joe Martin,1,1,292,29,64,10,9,0,14,2,0.219,0.315,0,92,0,1903,martijo01
FALSE,FALSE,Dustin Richardson,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2010,richadu02
FALSE,FALSE,Jose Tolentino,1,1,54,6,14,4,0,1,6,0,0.259,0.389,0,21,0,1991,tolenjo01
FALSE,FALSE,Jaye Chapman,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2012,chapmja02
