InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Harry Blake,6,1880,299,474,67,22,8,253,55,.252,.324,0,0,0,0,0,609,0,1899,blakeha01
FALSE,FALSE,Bob Blakiston,3,594,87,142,14,4,0,46,0,.239,.276,0,0,0,0,0,164,0,1884,blakibo01
FALSE,FALSE,Hank Blalock,9,3567,507,959,198,17,153,542,14,.269,.463,2,0,0,0,0,1650,0,2010,blaloha01
FALSE,FALSE,Damaso Blanco,3,33,9,7,1,0,0,2,3,.212,.242,0,0,0,0,0,8,0,1974,blancda01
FALSE,FALSE,Henry Blanco,16,2761,274,615,145,11,72,298,6,.223,.361,0,0,0,0,0,998,0,2013,blanche01
FALSE,FALSE,Johnny Blanchard,8,1193,137,285,36,2,67,200,2,.239,.441,0,0,0,0,0,526,0,1965,blancjo01
FALSE,FALSE,Ossie Blanco,2,102,5,20,0,0,0,10,0,.196,.196,0,0,0,0,0,20,0,1974,blancos01
FALSE,FALSE,Alex Blandino,2,164,20,39,5,0,2,11,0,.238,.305,0,0,0,0,0,50,0,2019,blandal01
FALSE,FALSE,Larvell Blanks,9,1766,203,446,57,14,20,172,9,.253,.335,0,0,0,0,0,591,0,1980,blankla01
FALSE,FALSE,Johnny Blatnik,3,447,59,113,27,8,6,46,3,.253,.389,0,0,0,0,0,174,0,1950,blatnjo01
FALSE,FALSE,Ned Bligh,4,209,17,34,3,1,1,19,3,.163,.201,0,0,0,0,0,42,0,1890,blighne01
FALSE,FALSE,Frank Bliss,1,8,1,1,0,0,0,0,0,.125,.125,0,0,0,0,0,1,0,1878,blissfr01
FALSE,FALSE,Bruno Block,5,565,42,131,18,10,1,69,5,.232,.304,0,0,0,0,0,172,0,1914,blockbr01
FALSE,FALSE,Terry Blocker,3,244,15,50,5,2,2,11,2,.205,.266,0,0,0,0,0,65,0,1989,blockte01
FALSE,FALSE,Bert Blue,1,42,4,12,1,2,0,2,0,.286,.405,0,0,0,0,0,17,0,1908,bluebe01
FALSE,FALSE,Hiram Bocachica,8,535,69,115,28,1,15,37,16,.215,.355,0,0,0,0,0,190,0,2007,bocachi01
FALSE,TRUE,John Boccabella,12,1462,117,320,56,5,26,148,3,.219,.317,0,0,0,0,0,464,0,1974,boccajo01
FALSE,FALSE,Bruce Bochte,12,5233,643,1478,250,21,100,658,43,.282,.396,1,0,0,0,0,2070,0,1986,bochtbr01
FALSE,FALSE,Brian Bocock,2,82,6,11,1,0,0,2,4,.134,.146,0,0,0,0,0,12,0,2010,bococbr01
FALSE,FALSE,Tony Boeckel,6,2880,372,813,130,36,27,337,90,.282,.381,0,0,0,0,0,1096,0,1923,boeckto01
FALSE,FALSE,Len Boehmer,3,116,5,19,4,0,0,7,0,.164,.198,0,0,0,0,0,23,0,1971,boehmle01
FALSE,FALSE,Tim Bogar,9,1516,180,345,69,9,24,161,13,.228,.332,0,0,0,0,0,504,0,2001,bogarti01
FALSE,FALSE,Sam Bohne,7,2315,309,605,87,45,16,228,75,.261,.359,0,0,0,0,0,830,0,1926,bohnesa01
FALSE,FALSE, Boland,1,4,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,0,0,1875,bolan01
FALSE,FALSE,Ed Boland,3,136,11,35,5,1,0,23,2,.257,.309,0,0,0,0,0,42,0,1944,bolaned01
FALSE,FALSE,Charlie Bold,1,1,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,0,0,1914,boldch01
FALSE,FALSE,Carl Boles,1,24,4,9,0,0,0,1,0,.375,.375,0,0,0,0,0,9,0,1962,bolesca01
